kolomnaam;code_attribuut_sleutel;code_attribuut;code_bronbestand;leverancier_kolomnaam;leverancier_kolomtype;leverancier_info_1;leverancier_info_2;datatype;keytype;constraints;domein;verstek;positie;avg_classificatie;veiligheid_classificatie;gebruiker_info_1;gebruiker_info_2;gebruiker_info_3;kolom_expiratie_datum;attribuut_datum_begin;attribuut_datum_einde;beschrijving
bronbestand_recordnummer;ODLXTRA001;1;ODLXTRA;(dido generated);;;;bigserial;;;;;;1;1;;;;9999-12-31;2023-06-01;9999-12-31;Uniek recordnummer in de tabel
code_bronbestand;ODLXTRA002;2;ODLXTRA;(dido generated);;;;text;;DEFAULT '{code_bronbestand}';;;;1;1;;;;9999-12-31;2023-06-01;9999-12-31;Unieke code voor identificatie van bronbestanden
levering_rapportageperiode;ODLXTRA003;3;ODLXTRA;(dido generated);;;;text;;DEFAULT '';;;;1;1;;;;9999-12-31;2023-06-01;9999-12-31;De frekwentie waarmee de bronbestanden worden geleverd (bijvoorbeeld jaarlijks of wekelijks)
record_datum_begin;ODLXTRA004;4;ODLXTRA;(dido generated);;;;date;;DEFAULT '1970-01-01';;;;1;1;;;;9999-12-31;2023-06-01;9999-12-31;Eerste geldigheidsdatum en tijd van dit record
record_datum_einde;ODLXTRA005;5;ODLXTRA;(dido generated);;;;date;;DEFAULT '9999-12-31';;;;1;1;;;;9999-12-31;2023-06-01;9999-12-31;Laatste geldigheidsdatum en tijd van dit record
sysdatum;ODLXTRA006;6;ODLXTRA;(dido generated);;;;timestamp;;DEFAULT CURRENT_TIMESTAMP(0);;;;1;1;;;;9999-12-31;2023-06-01;9999-12-31;De datum waarop dit record is aangemaakt
